ShootingStar,3,/images/shootingStar.png,3,150,70,2
BgShootingStar,4,/images/bgshootingStar.png,3,200,100,1
Planet,100,700,30,/images/blackhole.png,reverse
Planet,1300,300,40,/images/0.png,simple
Planet,400,500,60,/images/1.png,simple
Planet,800,200,50,/images/2.png,simple
Planet,200,400,90,/images/3.png,pulsating
Planet,600,300,40,/images/4.png,pulsating
Planet,1000,300,60,/images/5.png,pulsating
Planet,1400,600,70,/images/6.png,pulsating
Planet,1800,300,70,/images/blackhole.png,blackhole
Planet,2000,700,50,/images/2.png,pulsating
