ShootingStar,3,/images/shootingStar.png,3,150,70,2
BgShootingStar,4,/images/bgshootingStar.png,3,200,100,1
Planet,200,300,40,/images/1.png,simple,
Planet,400,500,60,/images/2.png,simple,
Planet,1500,200,50,/images/3.png,simple,
Planet,1200,400,90,/images/4.png,simple,
Planet,600,300,40,/images/5.png,simple,
Planet,1700,600,60,/images/6.png,simple,
Planet,500,800,80,/images/7.png,simple,
Planet,800,1000,30,/images/8.png,simple,
Planet,1300,1200,60,/images/9.png,simple,
Planet,1700,1000,40,/images/blackhole.png,blackhole,
